address,amount_idm,amount_wei,tier,note
0xdbd4670097f9f55c03d29a568f92f4c9c9b8d767,202824.74055866,202824740558660000000000,tge_full,transfer terverifikasi
0x145e74c729c4d137afbb6975a93bee06920c8867,202151.89645168,202151896451680000000000,tge_full,transfer terverifikasi
0xe2fbed8cfcb06b77111ebddf889e462f9d4a39cc,202129.30959785,202129309597850000000000,tge_full,transfer terverifikasi
0x6ce0491556ce3fb2b6976e51fc3ff9dfdd718ecd,201802.32005941,201802320059410000000000,tge_full,transfer terverifikasi
0xf8c9a29a5e1016d8cce4892545a981680be2129f,201535.73659849,201535736598490000000000,tge_full,transfer terverifikasi
0xd82db51871d18daea5be8b7310253caf81a5dfb5,200333.16113085,200333161130850000000000,tge_full,transfer terverifikasi
0x7e7d0a8bb6bc6bd9e76c2801997b887f76d1ee11,200327.49718498,200327497184980000000000,tge_full,transfer terverifikasi
0x0b89f9a652f69ebabab1bbb044c01c545c383291,200260.60674734,200260606747340000000000,tge_full,transfer terverifikasi
0xc57e9eccd251a235fcf52fc360a7c49763460fe2,196262.39553761,196262395537610000000000,tge_full,transfer terverifikasi
0x4f482103c413ee223676152323848595ed95fa8c,194747.20963094,194747209630940000000000,tge_full,transfer terverifikasi
0xefe4bbb237e09cb803fa4738bdf6de7fd5be5022,193247.89703623,193247897036230000000000,tge_full,transfer terverifikasi
0x82791ac3fb324d739eb1fbf17e029e72fd12db5d,190824.09244313,190824092443130000000000,tge_full,transfer terverifikasi
0xa65f33b3c3c8b0ae916be7d5fcc612edb228c90c,188391.35775662,188391357756620000000000,tge_full,transfer terverifikasi
0x199eb20e8ba8720c1d5852f037870cdafa7f5168,187175.83116058,187175831160580000000000,tge_full,transfer terverifikasi
0x75f922c84b474d6e50f7436090cc8b31c6daeb4a,184036.08400486,184036084004860000000000,tge_full,transfer terverifikasi
0x499f360bf70856bd669ceabb18b8d8fbd89523e9,177503.16860953,177503168609530000000000,tge_full,transfer terverifikasi
0x00784bed05f8700d61f56c667768ec7009743911,174162.62673229,174162626732290000000000,tge_full,transfer terverifikasi
0x2b44be17c783e2e5190b41e80bcb143e710e0d6f,166934.43992504,166934439925040000000000,tge_full,transfer terverifikasi
0x579858b4eb0afd6cb7e303b3ca47c8e2463757b0,163416.59454396,163416594543960000000000,tge_full,transfer terverifikasi
0xe6482cc813d9c245b4b0d8030a8b44fa9420b98a,162604.69418952,162604694189520000000000,tge_full,transfer terverifikasi
0xb44ff70afcc2efb4d9b75595936627a5fe82c6da,161255.54893209,161255548932090000000000,tge_full,transfer terverifikasi
0x0b74900fd6253cca39bc2bf46b6febd4d2c3c274,160262.75935667,160262759356670000000000,tge_full,transfer terverifikasi
0x0e1e534990a41f2b4778b119640e99cfeba5c90f,158727.37807769,158727378077690000000000,tge_full,transfer terverifikasi
0x155a725329513cb93ad2eb2eada2d4e7ba966b5e,158014.90068988,158014900689880000000000,tge_full,transfer terverifikasi
0xd54a9aa9417be6c85b089f7a75fce7e72d56deb2,156939.50559207,156939505592070000000000,tge_full,transfer terverifikasi
0xf0682b94212e936cb6d6165b09321e75bdeae7d7,156219.74011741,156219740117410000000000,tge_full,transfer terverifikasi
0x3739bb6a6db491f39e135461985a122e57634e34,155900.19487584,155900194875840000000000,tge_full,transfer terverifikasi
0xa51f739dc995cd20b7a4bd76da6b51bc0a138578,155296.53576461,155296535764610000000000,tge_full,transfer terverifikasi
0xb957c03db777567aa71bafe7b0d44416fa826219,152227.39061995,152227390619950000000000,tge_full,transfer terverifikasi
0xe796b36fa11c27a2e657b4b79f4ba7f85e2ff9db,149259.54006471,149259540064710000000000,tge_full,transfer terverifikasi
0x23a85a278d5f22e4e11c1df506565aa824bae899,148035.68720451,148035687204510000000000,tge_full,transfer terverifikasi
0xf97a327852d943d24e5a7f1632e06b1664e5cd57,144046.88278622,144046882786220000000000,tge_full,transfer terverifikasi
0xfecada88cab3e6a5741b20fe1114639fbf0e93f0,143542.61682120,143542616821200000000000,tge_full,transfer terverifikasi
0x9f770739cd9dc4b866d55f65a49495dbb12e47da,141968.04716380,141968047163800000000000,tge_full,transfer terverifikasi
0x19e9aea730bd6fcee15eae619f40f95b203b8a82,137114.43009124,137114430091240000000000,tge_full,transfer terverifikasi
0x2fddf88ad79dd5a0ce3aee7fc83ab6cf89607a0b,136179.96893137,136179968931370000000000,tge_full,transfer terverifikasi
0x6f09cbbdf464ac300cac3c91e7d03f1889e1b02d,135416.51794601,135416517946010000000000,tge_full,transfer terverifikasi
0xca4588e0325fe71bc15d3e9b79efeff707022626,135225.27058050,135225270580500000000000,tge_full,transfer terverifikasi
0x59163ad840cdeb2a8f59edfb181e5bfb7156a7c6,135174.41060270,135174410602700000000000,tge_full,transfer terverifikasi
0xae85cc9f23b900560965d8b04379528b46dba756,135006.58271933,135006582719330000000000,tge_full,transfer terverifikasi
0x7e8e73d048449262f718d47e13208d8a676ea9e2,134788.25375580,134788253755800000000000,tge_full,transfer terverifikasi
0xd2d0aa35de2559ec58c089e51899210e036c0fc7,134545.90728416,134545907284160000000000,tge_full,transfer terverifikasi
0x5c78b7a91da440885e3bf89fe3d53a54b5ac1c32,132739.47768619,132739477686190000000000,tge_full,transfer terverifikasi
0xe27207eb1edf4a49220d1c3fa46b145ee01c3a7b,131155.54576925,131155545769250000000000,tge_full,transfer terverifikasi
